Ulasan,Sentimen
Kebanyakan iklan👎👎,Negatif
"Jangan ada yang mau download sumpah nyesel Udah langganan iklanya ga masuk akal Kalau 15 detik sampe 2 kali masih mending 5 menit di tungguin Ini sampe 1 jam di skip aja ga bisa Masuk akal ga nontonin iklas seharian ga ada otak ini aplikasi Percuma langganan ga ada bagus""nya Pindah aja ke sebelah Blom lagi suka ada bug nya stop layar ga bisa di apa""in",Negatif
"aneh, udah sering langganan platinum kenapa baru baru ini gabisa dibuka series nya, pdahal dulu dulu ga dikunci deh atau udah ada penaikan harga kah?, udah gitu harus berbayar lagi video premium sering muncul iklan, bad tolong diperbaiki",Negatif
Mantap,Positif
kenapa ya videoku akhir akhir ini suka ngebug tapi tayangan masih berlanjut apa harus di uninstal dulu?,Negatif
Bwabwa bwa bwa,Negatif
"Gila ya, hidup si negara tercinta kita ini. Beli paket buat nonton SERIE A doang, harga paketnya 49 ribu. Tapi ppn 11% , totalnya jadi 64 ribu sekian. Kalah ini mah upeti majapahit",Negatif
"Apk ga jelas, dibayr mahal mahal ga bisa di buka",Negatif
Mntap,Positif
Udah bisa min,Positif
"Sudah berlangganan tapi selalu muncul penawaran paket, sangat menggangu sekali saat sedang menjelajahi aplikasi, apakah aplikasi tidak mendeteksi pengguna sudah berlangganan paket atau belum?",Negatif
LAG ABIS BOS UDAH BELI PPV ANJG,Negatif
UDAH BAYAR TETAP AJA NGGAK BISA DI TONTON DASAR APK TIPU,Negatif
Kaga jelas jaringan bagus tapi pas nonton malah loading mlu,Negatif
KK ungkeeeeeeeeee🔥,Positif
"Udh berlangganan tapi ngelag mulu, bufring mulu najong",Negatif
"Nyesal gue daftar 32,158,00 lelet banget.",Negatif
Apalikasi jelkkkkk mau nonton biyon sudah di bayar tetap gak bisa nonton .. aplikasi tipu tipu,Negatif
"Tai udah langganan anjing 43ribu platinum 1bulan malah gamuncul mahkota sruh bayar lagi anjing,udh dkrim bukti pembyran+akun email jg ga dbles tai",Negatif
KENAPA SAYA BELI PAKET PLATINUM BUAT KAKAK KU YANG DI NEGARA JEPANG KENAPA KAKAKU. GA BISA NONTON WALAUPUN UDAH BELI PAKET DARI INDO,Negatif
Download ini untuk nonton byon 4 😑,Positif
Baguss,Positif
kocak,Negatif
"Beli Paket Byon Combat Vol.4 Ga bisa di tonton , kocak",Negatif
please lah lagi2 udah beli paket vidio bion combat 4 kenapa gak bisa masuk kenapa nyetag vidionya tolongggg lah,Negatif
"udh berlangganan msih ga bisa nonton, aplah",Negatif
"habis bayar gabisa liat vidio,jangan diunduh",Negatif
Bagus,Positif
"Baru download kemarin trus nyobain nonton series oke² aja gada kendala langsung otw langganan ehh pas masuk hari ke 2 ko gada series atau film yg bisa di puter ya cuma muter² dong trus gagal padahal baru kmaren langganan,ini gmna min?",Negatif
Oke,Positif
Bagus banget,Positif
Bufing parav atw macet macet,Negatif
ribet susah buat mundurkan video,Negatif
Gambar film suka macet tpi suara jalan terus,Negatif
"Aplikasi vidio sekrang banyak kendala, 1. Maslah pembayaran 2. Masalah pemutaran video 3. Banyak iklan 4. Paket sudah di beli tapi tidak bisa di putar 5. Sudah complain tapi tidak ada solusi atau tindakan 6. SUDAH SAAT NYA PINDAH KE KOMPETITOR LAIN YANG JAUH LEBIH BAIK",Negatif
"Tidak bisa mengunduh vidio, harus berlangganan dulu Dulu ada fitur mengunduh sekarang ga ada lagi",Negatif
"Berlangganan nya eror, udah di coba 2x langganan pake dana tetapi di aplikasi mengatakan saldo kurang,padahal saldo ada banyak, setelah 2x coba gak bisa saya pun cek aplikasi dana saya, dan dana sayang berkurang,terus saya cek riwayat nya berhasil langganan malahan 2x lagi,uang sayang berkurang 2x dari harga langganan,tapi di aplikasi vidio masih aja belum berhasil dan tidak ada transaksi gagal atau berhasil, tolong balikan uang saya 32×2 = 64.000rb, hadeuh ada ada aja padahal mau nonton byon",Negatif
Good luck,Positif
"sangat mengecewakan dengan iklan yang terlalu terkesan spam dengan durasi iklan yang teelalu lama juga, 2 iklan dengan durasi yang lama sangat mengurangi kenyamanan pengguna",Negatif
Mantaappp,Positif
Ini gimana kok pakai premium ngak ada gratis lagi saya pengen lihat ggs gratis,Negatif
Pembayaranya susah,Negatif
Bagus,Positif
Aplikasinya mantap,Positif
"Saya udah langganan platinum kenapa ga bisa nonton, selalu tampilan layar nya ada gangguan terus, balikin gopay saya woi...buat apa kalau gak bisa nonton film inceran saya. Mending netflix.",Negatif
Paket 1 thn hangus baru 1 bulan tanpa ada keringanan,Negatif
"hahaha apk jelek, videonya ngelag"" dan putus"", kadang suka berhenti sendiri, jujur itu menggangu kenyamanan menonton bgt, nnton disini jd ga ada nyaman"" nya dgn kualitas video sprti itu",Negatif
Iklan nya kurang banyak,Negatif
Sangat bagus,Positif
Gak bisa berlangganan pulsa anda tidak mencukupi padahal pulsa sudah mencukupi,Negatif
Download cuma mau liat byon 4 indo vs malaysia,Positif
Cara beli paketan nya,Negatif
TIDAK BERLANGGANAN MALAH TETAP DI POTONG,Negatif
Sudah beli kok ngk bsa login sih,Negatif
Gamau duit apa gmana ? niatnya berlangganan kode verifikasi udh dimasukin tpi gabisa masuk wkwkwk,Negatif
mau beli paket platinum by pulsa atau dana tapi pembayaran tidak berhasil terusss...... Why?,Negatif
Bagus,Positif
Mudah di gunakan dan sanggat menghibur,Positif
"Hari Tanggal:Rabu,01Januari 2025 Tahun Baru 2025 Masehi",Positif
Harga sekarang terlalu mahal untuk langganan liga inggris,Negatif
Sulit ribet,Negatif
apk nya bguss bgttttt,Positif
Luarbiasa,Positif
Kok di tolak terus si berlangganan bayar pakai gopay????,Negatif
Kenapa setiap mau beli berlangganan byon hari ini selalu server eror ada masalah apa ini,Negatif
Bagus dan MantuL,Positif
"Mendingan ini aplikasi gua hps, banyak bgt pembayaran! Mending g ush pake bayar2 deh, habisin uang aj aplikasi 1 ini... Yatim",Negatif
kasih 4 dulu sementara,Positif
Mantap,Positif
Bagus tapi tolong hapus iklannya kalau pas ada iklan gak bisa deliwati benar benar anj,Negatif
"Aplikasi ga bermutu,udah berlangganan perbulan ,tapi setiap nonton bayar lagi 8 ribu , setiap eps bayar lagi ,aplikasi penipu,rugi deh buat kelen yg download apk ini",Negatif
"Saya kasih bintang 5, karna pelayanan vidio kepada costumer sangat baik",Positif
Gak Semu bisa ditonton perbaiki lgi aplikasi ini untuk lbih baik,Negatif
"video sering macet dan cuma berjalan audio nya aja, tolong banget di fix, padahal film dah premium dan saya nonton yg ekspresi. terimakasih 🙏",Negatif
Hidup byon,Positif
"Udah langganan pdahal,nontonnya susah lag Mulu patahpatah",Negatif
Vidio no 1,Positif
Bagus rasa cinta dan kasih sayang film semua orang yang ikut banyak kerapa 5000000000000 ya,Positif
Bayar potong otomatis,Negatif
"Setelah download terlalu menyesal dalam 1 film iklan terlalu banyak dan sangat menganggu, untuk free ga menarik juga, udh di uninstal.kak , karena banyak ulasan berlangganan pun kena iklan wkwkkw aneh",Negatif
"Aplikasi kang maling, Udah berhenti berlangganan masih aja dipotong saldo",Negatif
"Kenapa siaran net gak bisa di ulang yang kelewatan contoh Shinbi house detective conan masak gaes dan lainnya, siaran lain bisa diputar ulang yang kelewatan tapi kenapa cuma siaran net doang gak bisa diputar yang kelewatan tolong kenapa harus diperbaiki kah itu",Negatif
"Aplikasi ini sangat bagus, tapi kalau nonton alur film selengkapnya hrs beli paket😕",Negatif
"videonya patah patah macet,padahal audionya lancar",Negatif
PLISS AK SUKAA BGT BNYA GRATISAN NYAWW💋💋,Positif
Good,Positif
"Ngeleg banget, walaupun udah berlangganan.",Negatif
NET gak bisa,Negatif
"tolong dong perbaiki rotasi di tablet. mau nonton gak auto rotare, harus tap full screen dulu dalam mode potrait baru bisa mode landscape. dan tolong untuk skip video gak perlu dim pencahayaannya. kadang suka susah nyari scene film kalo skipnya dalam keadaan cahaya redup, thanks",Negatif
Tak sesuai expktasi. Kayak apk pembohong,Negatif
