Rating,Ulasan,Sentimen,Tanggal
2,Kebanyakan iklan👎👎,Negatif,11/30/2024 21:54
1,"Jangan ada yang mau download sumpah nyesel Udah langganan iklanya ga masuk akal Kalau 15 detik sampe 2 kali masih mending 5 menit di tungguin Ini sampe 1 jam di skip aja ga bisa Masuk akal ga nontonin iklas seharian ga ada otak ini aplikasi Percuma langganan ga ada bagus""nya Pindah aja ke sebelah Blom lagi suka ada bug nya stop layar ga bisa di apa""in",Negatif,11/30/2024 19:28
1,"aneh, udah sering langganan platinum kenapa baru baru ini gabisa dibuka series nya, pdahal dulu dulu ga dikunci deh atau udah ada penaikan harga kah?, udah gitu harus berbayar lagi video premium sering muncul iklan, bad tolong diperbaiki",Negatif,11/30/2024 17:39
5,Mantap,Positif,11/30/2024 16:52
3,kenapa ya videoku akhir akhir ini suka ngebug tapi tayangan masih berlanjut apa harus di uninstal dulu?,Negatif,11/30/2024 16:46
1,Bwabwa bwa bwa,Negatif,11/30/2024 16:46
3,"Gila ya, hidup si negara tercinta kita ini. Beli paket buat nonton SERIE A doang, harga paketnya 49 ribu. Tapi ppn 11% , totalnya jadi 64 ribu sekian. Kalah ini mah upeti majapahit",Negatif,11/30/2024 16:33
1,"Apk ga jelas, dibayr mahal mahal ga bisa di buka",Negatif,11/30/2024 16:28
5,Mntap,Positif,11/30/2024 16:10
4,Udah bisa min,Positif,11/30/2024 15:58
3,"Sudah berlangganan tapi selalu muncul penawaran paket, sangat menggangu sekali saat sedang menjelajahi aplikasi, apakah aplikasi tidak mendeteksi pengguna sudah berlangganan paket atau belum?",Negatif,11/30/2024 15:56
1,LAG ABIS BOS UDAH BELI PPV ANJG,Negatif,11/30/2024 15:49
1,UDAH BAYAR TETAP AJA NGGAK BISA DI TONTON DASAR APK TIPU,Negatif,11/30/2024 15:47
1,Kaga jelas jaringan bagus tapi pas nonton malah loading mlu,Negatif,11/30/2024 15:46
5,KK ungkeeeeeeeeee🔥,Positif,11/30/2024 15:28
1,"Udh berlangganan tapi ngelag mulu, bufring mulu najong",Negatif,11/30/2024 15:28
1,"Nyesal gue daftar 32,158,00 lelet banget.",Negatif,11/30/2024 15:14
1,Apalikasi jelkkkkk mau nonton biyon sudah di bayar tetap gak bisa nonton .. aplikasi tipu tipu,Negatif,11/30/2024 15:03
1,"Tai udah langganan anjing 43ribu platinum 1bulan malah gamuncul mahkota sruh bayar lagi anjing,udh dkrim bukti pembyran+akun email jg ga dbles tai",Negatif,11/30/2024 14:56
1,KENAPA SAYA BELI PAKET PLATINUM BUAT KAKAK KU YANG DI NEGARA JEPANG KENAPA KAKAKU. GA BISA NONTON WALAUPUN UDAH BELI PAKET DARI INDO,Negatif,11/30/2024 14:45
4,Download ini untuk nonton byon 4 😑,Positif,11/30/2024 14:43
5,Baguss,Positif,11/30/2024 14:42
1,kocak,Negatif,11/30/2024 14:42
1,"Beli Paket Byon Combat Vol.4 Ga bisa di tonton , kocak",Negatif,11/30/2024 14:40
1,please lah lagi2 udah beli paket vidio bion combat 4 kenapa gak bisa masuk kenapa nyetag vidionya tolongggg lah,Negatif,11/30/2024 14:27
1,"udh berlangganan msih ga bisa nonton, aplah",Negatif,11/30/2024 14:22
1,"habis bayar gabisa liat vidio,jangan diunduh",Negatif,11/30/2024 14:21
5,Bagus,Positif,11/30/2024 14:18
2,"Baru download kemarin trus nyobain nonton series oke² aja gada kendala langsung otw langganan ehh pas masuk hari ke 2 ko gada series atau film yg bisa di puter ya cuma muter² dong trus gagal padahal baru kmaren langganan,ini gmna min?",Negatif,11/30/2024 14:00
4,Oke,Positif,11/30/2024 13:59
5,Bagus banget,Positif,11/30/2024 13:45
2,Bufing parav atw macet macet,Negatif,11/30/2024 13:43
1,ribet susah buat mundurkan video,Negatif,11/30/2024 13:28
3,Gambar film suka macet tpi suara jalan terus,Negatif,11/30/2024 13:17
1,"Aplikasi vidio sekrang banyak kendala, 1. Maslah pembayaran 2. Masalah pemutaran video 3. Banyak iklan 4. Paket sudah di beli tapi tidak bisa di putar 5. Sudah complain tapi tidak ada solusi atau tindakan 6. SUDAH SAAT NYA PINDAH KE KOMPETITOR LAIN YANG JAUH LEBIH BAIK",Negatif,11/30/2024 13:04
1,"Tidak bisa mengunduh vidio, harus berlangganan dulu Dulu ada fitur mengunduh sekarang ga ada lagi",Negatif,11/30/2024 13:04
1,"Berlangganan nya eror, udah di coba 2x langganan pake dana tetapi di aplikasi mengatakan saldo kurang,padahal saldo ada banyak, setelah 2x coba gak bisa saya pun cek aplikasi dana saya, dan dana sayang berkurang,terus saya cek riwayat nya berhasil langganan malahan 2x lagi,uang sayang berkurang 2x dari harga langganan,tapi di aplikasi vidio masih aja belum berhasil dan tidak ada transaksi gagal atau berhasil, tolong balikan uang saya 32×2 = 64.000rb, hadeuh ada ada aja padahal mau nonton byon",Negatif,11/30/2024 13:02
5,Good luck,Positif,11/30/2024 12:11
1,"sangat mengecewakan dengan iklan yang terlalu terkesan spam dengan durasi iklan yang teelalu lama juga, 2 iklan dengan durasi yang lama sangat mengurangi kenyamanan pengguna",Negatif,11/30/2024 11:44
5,Mantaappp,Positif,11/30/2024 11:44
5,Ini gimana kok pakai premium ngak ada gratis lagi saya pengen lihat ggs gratis,Negatif,11/30/2024 11:43
1,Pembayaranya susah,Negatif,11/30/2024 11:41
5,Bagus,Positif,11/30/2024 11:39
